pop2000,county_id,cz,czname,state_id,stateabbrv
89908,35043,34901,Albuquerque,35,NM
113801,35045,35300,Farmington,35,NM
30126,35047,34801,Las Vegas,35,NM
129292,35049,34802,Santa Fe,35,NM
13270,35051,30603,Truth or Consequences,35,NM
18078,35053,34902,Socorro,35,NM
29979,35055,34802,Santa Fe,35,NM
16911,35057,34901,Albuquerque,35,NM
4174,35059,34804,Clayton,35,NM
66152,35061,34901,Albuquerque,35,NM
294565,36001,18600,Albany,36,NY
49927,36003,18201,Olean,36,NY
1332650,36005,19400,New York,36,NY
200536,36007,17900,Union,36,NY
83955,36009,18201,Olean,36,NY
81963,36011,17700,Syracuse,36,NY
139750,36013,16500,Erie,42,PA
91070,36015,18100,Elmira,36,NY
51401,36017,17800,Oneonta,36,NY
79894,36019,18400,Plattsburgh,36,NY
63094,36021,18600,Albany,36,NY
48599,36023,17700,Syracuse,36,NY
48055,36025,17800,Oneonta,36,NY
280150,36027,19300,Poughkeepsie,36,NY
950265,36029,18000,Buffalo,36,NY
38851,36031,18400,Plattsburgh,36,NY
51134,36033,18400,Plattsburgh,36,NY
55073,36035,18500,Amsterdam,36,NY
60370,36037,18000,Buffalo,36,NY
48195,36039,18600,Albany,36,NY
5379,36041,18500,Amsterdam,36,NY
64427,36043,17700,Syracuse,36,NY
111738,36045,18300,Watertown,36,NY
2465326,36047,19400,New York,36,NY
26944,36049,18300,Watertown,36,NY
64328,36051,18000,Buffalo,36,NY
69441,36053,17700,Syracuse,36,NY
735343,36055,18000,Buffalo,36,NY
49708,36057,18500,Amsterdam,36,NY
1334544,36059,19400,New York,36,NY
1537195,36061,19400,New York,36,NY
219846,36063,18000,Buffalo,36,NY
235469,36065,17700,Syracuse,36,NY
458336,36067,17700,Syracuse,36,NY
100224,36069,18000,Buffalo,36,NY
341367,36071,19300,Poughkeepsie,36,NY
44171,36073,18000,Buffalo,36,NY
122377,36075,17700,Syracuse,36,NY
61676,36077,17800,Oneonta,36,NY
95745,36079,19400,New York,36,NY
2229379,36081,19400,New York,36,NY
152538,36083,18600,Albany,36,NY
443728,36085,19400,New York,36,NY
286753,36087,19600,Newark,34,NJ
111931,36089,18300,Watertown,36,NY
200635,36091,18600,Albany,36,NY
146555,36093,18600,Albany,36,NY
31582,36095,18600,Albany,36,NY
19224,36097,18100,Elmira,36,NY
33342,36099,18000,Buffalo,36,NY
98726,36101,18100,Elmira,36,NY
1419369,36103,19400,New York,36,NY
73966,36105,19300,Poughkeepsie,36,NY
51784,36107,17900,Union,36,NY
96501,36109,18100,Elmira,36,NY
177749,36111,19300,Poughkeepsie,36,NY
63303,36113,18600,Albany,36,NY
61042,36115,18600,Albany,36,NY
93765,36117,18000,Buffalo,36,NY
923459,36119,19400,New York,36,NY
43424,36121,18000,Buffalo,36,NY
24621,36123,18000,Buffalo,36,NY
130800,37001,500,Greensboro,37,NC
33603,37003,1100,Hickory,37,NC
10677,37005,602,Galax,51,VA
25275,37007,900,Charlotte,37,NC
24384,37009,601,North Wilkesboro,37,NC
17167,37011,1001,Boone,37,NC
44958,37013,2100,Washington,37,NC
19773,37015,2600,Roanoke Rapids,37,NC
32278,37017,1500,Wilmington,37,NC
73143,37019,1500,Wilmington,37,NC
206330,37021,1203,Asheville,37,NC
89148,37023,1002,Morganton,37,NC
131063,37025,900,Charlotte,37,NC
77415,37027,1100,Hickory,37,NC
6885,37029,2000,Virginia Beach,51,VA
59383,37031,1900,Jacksonville,37,NC
23501,37033,500,Greensboro,37,NC
